Temp [C],Umid. Relativa,Vazão [m3/min],Pres. Total [Pa],Pres. Estatica [Pa],Pres. Dinâmica [Pa],Pres. Placa o. [Pa],Teste
24.057,68.248,0.814,243.302,223.225,20.077,194.287,2
24.002,68.311,0.811,243.133,223.116,20.017,277.295,2
23.936,68.358,0.808,242.185,222.361,19.824,276.074,2
23.869,68.386,0.806,239.92,220.406,19.514,229.687,2
23.808,68.382,0.805,235.905,216.806,19.099,226.025,2
23.756,68.341,0.805,230.274,211.673,18.601,273.633,2
23.718,68.268,0.807,223.388,205.318,18.07,256.543,2
23.696,68.171,0.809,215.438,197.933,17.505,249.218,2
23.696,68.057,0.811,206.65,189.736,16.914,186.963,2
23.721,67.924,0.813,197.256,180.951,16.305,199.17,2
23.769,67.787,0.815,187.306,171.591,15.715,238.232,2
23.83,67.675,0.816,177.054,161.838,15.216,271.191,2
23.9,67.589,0.817,166.958,152.055,14.903,301.709,2
23.973,67.518,0.817,156.971,142.124,14.847,250.439,2
24.042,67.459,0.818,147.044,132.012,15.032,267.529,2
24.104,67.416,0.819,137.542,122.148,15.394,226.025,2
24.157,67.394,0.82,128.649,112.775,15.874,175.976,2
24.197,67.37,0.82,120.595,104.113,16.482,266.308,2
24.228,67.317,0.821,113.51,96.277,17.233,213.818,2
24.25,67.23,0.82,107.127,89.001,18.126,238.232,2
24.266,67.098,0.819,101.367,82.212,19.155,166.211,2
24.286,66.92,0.818,96.068,75.763,20.305,237.011,2
24.306,66.686,0.816,90.891,69.388,21.503,174.756,2
24.326,66.387,0.811,85.404,62.756,22.648,168.652,2
24.183,67.1,0.94,361.126,331.44,29.686,304.15,3
24.225,66.965,0.943,366.121,337.17,28.951,468.945,3
24.267,66.809,0.947,370.215,341.819,28.396,359.082,3
24.307,66.652,0.953,372.857,344.813,28.044,290.722,3
24.339,66.506,0.959,373.565,345.712,27.853,334.668,3
24.357,66.376,0.966,372.205,344.441,27.764,377.392,3
24.354,66.266,0.972,368.853,341.151,27.702,298.047,3
24.333,66.181,0.978,363.39,335.791,27.599,395.703,3
24.297,66.124,0.983,355.949,328.542,27.407,350.537,3
24.247,66.084,0.986,346.888,319.782,27.106,334.668,3
24.196,66.043,0.988,336.693,309.952,26.741,312.695,3
24.155,66.005,0.989,325.579,299.239,26.34,327.343,3
24.128,65.981,0.988,313.745,287.861,25.884,278.515,3
24.113,65.977,0.985,301.483,276.11,25.373,321.24,3
24.103,66.003,0.98,288.81,264.024,24.786,283.398,3
24.101,66.069,0.975,275.938,251.826,24.112,370.068,3
24.106,66.171,0.97,263.378,239.984,23.394,288.281,3
24.11,66.299,0.964,251.951,229.255,22.696,296.826,3
24.107,66.447,0.959,242.265,220.192,22.073,379.834,3
24.098,66.61,0.954,234.75,213.227,21.523,321.24,3
24.088,66.767,0.95,229.947,208.926,21.021,324.902,3
24.08,66.889,0.947,227.808,207.234,20.574,294.384,3
24.074,66.949,0.944,227.994,207.758,20.236,290.722,3
24.068,66.938,0.942,230.688,210.634,20.054,312.695,3
24.064,66.853,0.941,235.999,215.998,20.001,343.213,3
24.059,66.707,0.94,243.623,223.591,20.032,285.84,3
24.055,66.518,0.939,252.984,232.778,20.206,278.515,3
24.049,66.294,0.938,263.571,242.957,20.614,285.84,3
24.039,66.05,0.937,274.807,253.52,21.287,350.537,3
24.025,65.809,0.936,286.226,263.949,22.277,368.847,3
24.008,65.596,0.934,297.941,274.368,23.573,250.439,3
23.984,65.43,0.933,309.947,284.828,25.119,311.474,3
23.955,65.331,0.931,322.015,295.14,26.875,322.461,3
23.931,65.313,0.929,333.731,304.957,28.774,349.316,3
23.919,65.373,0.928,344.385,313.633,30.752,316.357,3
23.918,65.484,0.929,353.229,320.436,32.793,400.586,3
23.933,65.626,0.931,359.895,324.977,34.918,374.951,3
23.962,65.782,0.934,364.129,327.078,37.051,223.584,3
23.995,65.927,0.937,365.835,326.728,39.107,288.281,3
24.027,66.042,0.94,365.263,324.174,41.089,324.902,3
24.053,66.122,0.942,362.436,319.541,42.895,143.017,3
24.069,66.174,0.941,357.251,312.859,44.392,321.24,3
24.072,66.212,0.939,349.994,304.475,45.519,327.343,3
24.066,66.23,0.935,341.053,294.908,46.145,293.164,3
24.057,66.226,0.929,330.824,284.613,46.211,293.164,3
24.051,66.21,0.923,319.411,273.664,45.747,331.006,3
24.052,66.185,0.916,306.767,262.035,44.732,268.75,3
24.059,66.154,0.91,293.355,250.165,43.19,351.758,3
24.079,66.123,0.905,279.582,238.41,41.172,316.357,3
